eval_index,timestep,num_rl_agents,tsr,timeout_rate,non_timeout_failure_rate,mean_reward,mean_episode_length_per_car,mean_steps_per_completed_car,mean_policy_to_expert_step_ratio,mean_excess_steps_vs_expert,traffic_violation_count,rollout_traffic_violations_since_last_eval,rollout_failures_since_last_eval,rollout_timeouts_since_last_eval,rollout_successes_since_last_eval,action_slow_count,action_fast_count,action_normal_count,action_stop_count,agent_car_1_mean_reward
1,5000,1,1.0,0.0,0.0,5.23000014796853,49.333333333333336,49.333333333333336,0.9147348683296108,-4.666666666666667,0,259,6,34,42,0,427,75,238,5.230000766118367
2,10000,1,0.8666666666666667,0.0,0.13333333333333333,3.443333478520314,45.4,52.38461538461539,0.824398512964803,-8.6,2,278,7,31,43,0,439,17,227,3.4433342297871907
3,15000,1,0.8666666666666667,0.0,0.13333333333333333,1.7533335770169893,43.6,50.30769230769231,0.8120258986538172,-10.4,7,235,6,36,43,0,440,5,211,1.7533341248830159
4,20000,1,0.8,0.06666666666666667,0.13333333333333333,3.2066668065885704,43.86666666666667,54.833333333333336,0.8154542495246234,-10.133333333333333,15,255,6,32,48,0,426,6,228,3.2066675345102946
5,25000,1,0.8666666666666667,0.0,0.13333333333333333,3.360000143200159,42.6,49.15384615384615,0.7914517765966802,-11.4,23,239,8,28,52,4,439,3,195,3.3600008328755697
6,30000,1,0.9333333333333333,0.0,0.06666666666666667,2.8366669240097204,35.46666666666667,38.0,0.6614683685235826,-18.533333333333335,74,259,5,23,68,7,480,0,46,2.8366676966349282
7,35000,1,0.8666666666666667,0.0,0.13333333333333333,0.30000035067399344,33.93333333333333,39.15384615384615,0.6345455280641218,-20.066666666666666,65,228,8,16,75,7,453,0,51,0.30000108083089194
8,40000,1,0.9333333333333333,0.0,0.06666666666666667,2.8366669242580733,36.333333333333336,38.92857142857143,0.6817733982726661,-17.666666666666668,68,177,5,20,67,4,482,0,60,2.836667760213216
9,45000,1,0.9333333333333333,0.0,0.06666666666666667,2.8366669242580733,36.13333333333333,38.714285714285715,0.6784527802556534,-17.866666666666667,71,253,7,19,70,7,478,0,58,2.8366676966349282
10,50000,1,0.9333333333333333,0.0,0.06666666666666667,2.8366669242580733,35.13333333333333,37.642857142857146,0.661301952870491,-18.866666666666667,67,220,6,11,81,3,470,0,55,2.8366676648457845
11,55000,1,0.8666666666666667,0.0,0.13333333333333333,0.30000035067399344,33.8,39.0,0.6356482688067439,-20.2,68,264,8,17,72,5,451,0,53,0.3000011126200358
12,60000,1,0.8666666666666667,0.0,0.13333333333333333,0.3000003504256407,34.0,39.23076923076923,0.6354174348227849,-20.0,62,309,7,22,66,0,450,4,58,0.30000104904174807
