exp_name,assignment_name,model_slot_mapping,permutation_index,method,difficulty,seed,split,eval_index,timestep,wall_clock_time_sec,best_tsr_so_far,num_eval_episodes,tsr,mean_reward,failure_rate,timeout_rate,mean_episode_length,num_rl_agents,mean_agent_tsr,joint_tsr,joint_failure_rate,joint_timeout_rate,episodes_all_k_success,episodes_joint_failure,episodes_joint_timeout,mean_completed_rl_agents,mean_completed_rl_fraction,mean_completed_rl_agents_before_failure,mean_completed_rl_agents_before_timeout,mean_episode_length_per_rl_agent,mean_steps_per_completed_rl_agent,successful_rl_agents_per_1k_episode_steps,mean_episode_length_per_car,mean_steps_per_completed_car,successful_cars_per_1k_episode_steps,mean_expert_reference_step_count,mean_policy_to_expert_step_ratio,mean_excess_steps_vs_expert,action_slow_count,action_normal_count,action_fast_count,action_stop_count,mean_decision_succ,mean_base_policy_safe_prob,mean_shielded_policy_safe_prob,mean_safety_gain,shield_intervention_rate,mean_policy_kl_base_to_shielded,mean_l1_shift_base_to_shielded,hazard_step_rate,shield_forced_stop_rate,base_action_slow_count,base_action_normal_count,base_action_fast_count,base_action_stop_count,shielded_action_slow_count,shielded_action_normal_count,shielded_action_fast_count,shielded_action_stop_count,mean_safe_prob_action_slow,mean_safe_prob_action_normal,mean_safe_prob_action_fast,mean_safe_prob_action_stop,rollout_failures_since_last_eval,rollout_timeouts_since_last_eval,rollout_successes_since_last_eval,goal_completion_rate,mean_agent_goal_completion_rate,failure_rate_per_goal,failure_rate_per_1k_steps,unfinished_goal_rate,completed_goals,failed_goals,active_goals_at_budget,deployment_count,failure_reset_count,resolved_goal_attempts,resolved_goal_quota_per_agent,micro_rollout_tsr,micro_rollout_failure_rate,macro_rollout_tsr,macro_rollout_failure_rate,mean_steps_per_resolved_goal_attempt,successful_goals_per_1k_steps,resolved_goal_attempts_per_1k_steps,agent_car_1_failure_involvement_rate,agent_car_1_mean_active_steps,agent_car_1_mean_reward,agent_car_1_timeout_unresolved_rate,agent_car_1_tsr,non_timeout_failure_rate,rollout_agent_steps_since_last_eval,rollout_required_stop_rate_since_last_eval,rollout_stop_needed_steps_since_last_eval,rollout_traffic_violations_since_last_eval,traffic_violation_count,decision_succ_action_stop,fail_rule_Collision,fail_rule_Collision_Close,fail_rule_Intersection_Right-of-Way,fail_rule_Simultaneous_Intersection_Entry
exp1_compact3_easy_plpg_k1_v6_regimeshield,,,,PLPGPPO,unknown,2,val,1,1000,360.0996677875519,0.0,15,0.0,-3.7499999832361937,0.0,1.0,75.0,1,0.0,0.0,0.0,1.0,0,0,15,0.0,0.0,0.0,0.0,75.0,1125.0,0.0,75.0,1125.0,0.0,52.46666666666667,1.458834532416885,22.533333333333335,0,0,0,1125,0.0,0.9637385460535686,0.9659569585058424,0.002218412452273899,1.0,0.0017470059365861945,0.021115818593237135,0.03950762399699953,1.0,0,85,1040,0,0,0,0,1125,0.9459685964054532,0.952664104408688,0.956784631676144,1.0,0,9,5,,,,,,,,,,,,,,,,,,,,0.0,75.0,-0.7499995827674866,1.0,0.0,0.0,1000,0.153,153,83,0,0.0,0,0,0,0
exp1_compact3_easy_plpg_k1_v6_regimeshield,,,,PLPGPPO,unknown,2,val,2,2000,1144.378853559494,0.9333333333333333,15,0.9333333333333333,3.8606666968514523,0.0,0.13333333333333333,55.6,1,0.9333333333333333,0.9333333333333333,0.0,0.13333333333333333,14,0,2,0.9333333333333333,0.9333333333333333,0.0,0.0,55.6,59.57142857142857,16.786570743405274,55.6,59.57142857142857,16.786570743405274,52.46666666666667,1.0580312780006629,3.1333333333333333,0,0,441,393,0.0,0.8843092138675763,0.9073310682384802,0.023021854370903913,1.0,0.018776849186945735,0.09049048246168118,0.17938503133450195,1.0,0,0,834,0,0,0,441,393,0.877840363829256,0.845152438187199,0.8187033137757715,1.0,2,7,7,,,,,,,,,,,,,,,,,,,,0.0,55.6,4.2606670220692955,0.06666666666666667,0.9333333333333333,0.0,1000,0.081,81,45,0,0.0,0,0,0,0
exp1_compact3_easy_plpg_k1_v6_regimeshield,,,,PLPGPPO,unknown,2,val,3,3000,1819.0819103717804,1.0,15,1.0,4.437333360935251,0.0,0.0,48.266666666666666,1,1.0,1.0,0.0,0.0,15,0,0,1.0,1.0,0.0,0.0,48.266666666666666,48.266666666666666,20.718232044198896,48.266666666666666,48.266666666666666,20.718232044198896,52.46666666666667,0.9184747536578731,-4.2,0,0,457,267,0.0,0.8677746943347362,0.8946037836660996,0.026829089331363448,1.0,0.02187588060652909,0.103890770027486,0.20685786708098583,1.0,0,0,724,0,0,0,457,267,0.8646501749342318,0.8239518473161518,0.7913903034606032,1.0,1,8,7,,,,,,,,,,,,,,,,,,,,0.0,48.266666666666666,4.43733385403951,0.0,1.0,0.0,1000,0.081,81,47,0,0.0,0,0,0,0
exp1_compact3_easy_plpg_k1_v6_regimeshield,,,,PLPGPPO,unknown,2,val,4,4000,2450.439472913742,1.0,15,1.0,4.43733336130778,0.0,0.0,48.266666666666666,1,1.0,1.0,0.0,0.0,15,0,0,1.0,1.0,0.0,0.0,48.266666666666666,48.266666666666666,20.718232044198896,48.266666666666666,48.266666666666666,20.718232044198896,52.46666666666667,0.9172997782594824,-4.2,0,0,456,268,0.0,0.8665893542997086,0.8932090816576836,0.026619727357975027,1.0,0.021673707717268096,0.10364944465170249,0.20632366948241357,1.0,0,0,724,0,0,0,456,268,0.8646760910996416,0.8240514896521911,0.7918972170896293,1.0,0,5,10,,,,,,,,,,,,,,,,,,,,0.0,48.266666666666666,4.43733385403951,0.0,1.0,0.0,1000,0.084,84,60,0,0.0,0,0,0,0
exp1_compact3_easy_plpg_k1_v6_regimeshield,,,,PLPGPPO,unknown,2,val,5,5000,3070.6031370162964,1.0,15,1.0,4.436000027259191,0.0,0.0,48.4,1,1.0,1.0,0.0,0.0,15,0,0,1.0,1.0,0.0,0.0,48.4,48.4,20.66115702479339,48.4,48.4,20.66115702479339,52.46666666666667,0.9211716791341178,-4.066666666666666,0,0,458,268,0.0,0.8665728277575543,0.8924224446463519,0.025849616888797645,1.0,0.020929105288654402,0.10225491336554535,0.20477585907584214,1.0,0,0,726,0,0,0,458,268,0.8659047386698815,0.8257293970460077,0.7934839665150839,1.0,1,2,14,,,,,,,,,,,,,,,,,,,,0.0,48.4,4.436000506083171,0.0,1.0,0.0,1000,0.118,118,72,0,0.0,0,0,0,0
exp1_compact3_easy_plpg_k1_v6_regimeshield,,,,PLPGPPO,unknown,2,val,6,6000,3694.1181676387787,1.0,15,1.0,4.442000028987725,0.0,0.0,47.8,1,1.0,1.0,0.0,0.0,15,0,0,1.0,1.0,0.0,0.0,47.8,47.8,20.92050209205021,47.8,47.8,20.92050209205021,52.46666666666667,0.9096491220864932,-4.666666666666667,0,0,453,264,0.0,0.8360850279800064,0.8728398712276582,0.03675484324765172,1.0,0.02999573012793143,0.13024077802439282,0.2527834033928656,1.0,0,0,717,0,0,0,453,264,0.8351951528293817,0.7863786267103676,0.751817178277291,1.0,2,8,5,,,,,,,,,,,,,,,,,,,,0.0,47.8,4.442000484466552,0.0,1.0,0.0,1000,0.1,100,63,0,0.0,0,0,0,0
exp1_compact3_easy_plpg_k1_v6_regimeshield,,,,PLPGPPO,unknown,2,val,7,7000,4311.242233037949,1.0,15,1.0,4.445333361874024,0.0,0.0,47.46666666666667,1,1.0,1.0,0.0,0.0,15,0,0,1.0,1.0,0.0,0.0,47.46666666666667,47.46666666666667,21.06741573033708,47.46666666666667,47.46666666666667,21.06741573033708,52.46666666666667,0.9030250282758842,-5.0,0,0,454,258,0.0,0.8326308434264044,0.8698768331930878,0.037245989766683474,1.0,0.03042257047033335,0.13159402644031504,0.25601639177943214,1.0,0,0,712,0,0,0,454,258,0.8330411759487698,0.7835814930247457,0.7489937094741324,1.0,2,4,12,,,,,,,,,,,,,,,,,,,,0.0,47.46666666666667,4.445333846410116,0.0,1.0,0.0,1000,0.051,51,34,0,0.0,0,0,0,0
exp1_compact3_easy_plpg_k1_v6_regimeshield,,,,PLPGPPO,unknown,2,val,8,8000,4927.052644968033,1.0,15,1.0,4.444666697705785,0.0,0.0,47.53333333333333,1,1.0,1.0,0.0,0.0,15,0,0,1.0,1.0,0.0,0.0,47.53333333333333,47.53333333333333,21.037868162692845,47.53333333333333,47.53333333333333,21.037868162692845,52.46666666666667,0.903647972819996,-4.933333333333334,0,8,450,255,0.0,0.8195660390158355,0.8600583899071307,0.04049235089129519,1.0,0.03286438884453908,0.14047862244521753,0.2740368703680654,1.0,0,0,713,0,0,8,450,255,0.8209141456060958,0.768486433661168,0.7338589586181694,1.0,3,8,6,,,,,,,,,,,,,,,,,,,,0.0,47.53333333333333,4.444667196273803,0.0,1.0,0.0,1000,0.09,90,61,0,0.0,0,0,0,0
exp1_compact3_easy_plpg_k1_v6_regimeshield,,,,PLPGPPO,unknown,2,val,9,9000,5576.753952503204,1.0,15,1.0,4.446666696791848,0.0,0.0,47.333333333333336,1,1.0,1.0,0.0,0.0,15,0,0,1.0,1.0,0.0,0.0,47.333333333333336,47.333333333333336,21.12676056338028,47.333333333333336,47.333333333333336,21.12676056338028,52.46666666666667,0.9007219510144636,-5.133333333333334,0,4,451,255,0.0,0.8171856579646258,0.8582463315674956,0.041060673602869815,1.0,0.033391781007005295,0.14221312479234077,0.2758283632951723,1.0,0,0,710,0,0,4,451,255,0.8199607947762584,0.7670646022742903,0.7320267078322424,1.0,2,7,8,,,,,,,,,,,,,,,,,,,,0.0,47.333333333333336,4.446667146682739,0.0,1.0,0.0,1000,0.099,99,69,0,0.0,0,0,0,0
exp1_compact3_easy_plpg_k1_v6_regimeshield,,,,PLPGPPO,unknown,2,val,10,10000,6227.369724988937,1.0,15,1.0,4.444000027080377,0.0,0.0,47.6,1,1.0,1.0,0.0,0.0,15,0,0,1.0,1.0,0.0,0.0,47.6,47.6,21.008403361344538,47.6,47.6,21.008403361344538,52.46666666666667,0.9058394711804483,-4.866666666666666,0,0,458,256,0.0,0.8151319468555664,0.8559915420054054,0.04085959514983896,1.0,0.03330782989068713,0.14202653846236504,0.27508241626374025,1.0,0,0,714,0,0,0,458,256,0.8199326034103122,0.7672232448303399,0.7327614386959904,1.0,0,6,10,,,,,,,,,,,,,,,,,,,,0.0,47.6,4.44400053024292,0.0,1.0,0.0,1000,0.054,54,37,0,0.0,0,0,0,0
