eval_index,timestep,num_rl_agents,tsr,timeout_rate,non_timeout_failure_rate,mean_reward,mean_episode_length_per_car,mean_steps_per_completed_car,mean_policy_to_expert_step_ratio,mean_excess_steps_vs_expert,traffic_violation_count,rollout_traffic_violations_since_last_eval,rollout_failures_since_last_eval,rollout_timeouts_since_last_eval,rollout_successes_since_last_eval,action_slow_count,action_fast_count,action_normal_count,action_stop_count,agent_car_1_mean_reward
1,1000,1,0.0,1.0,0.0,-3.7499999832361937,75.0,1125.0,1.458834532416885,22.533333333333335,0,83,0,9,5,0,0,0,1125,-0.7499995827674866
2,2000,1,0.9333333333333333,0.13333333333333333,0.0,3.8606666968514523,55.6,59.57142857142857,1.0580312780006629,3.1333333333333333,0,45,2,7,7,0,441,0,393,4.2606670220692955
3,3000,1,1.0,0.0,0.0,4.437333360935251,48.266666666666666,48.266666666666666,0.9184747536578731,-4.2,0,47,1,8,7,0,457,0,267,4.43733385403951
4,4000,1,1.0,0.0,0.0,4.43733336130778,48.266666666666666,48.266666666666666,0.9172997782594824,-4.2,0,60,0,5,10,0,456,0,268,4.43733385403951
5,5000,1,1.0,0.0,0.0,4.436000027259191,48.4,48.4,0.9211716791341178,-4.066666666666666,0,72,1,2,14,0,458,0,268,4.436000506083171
6,6000,1,1.0,0.0,0.0,4.442000028987725,47.8,47.8,0.9096491220864932,-4.666666666666667,0,63,2,8,5,0,453,0,264,4.442000484466552
7,7000,1,1.0,0.0,0.0,4.445333361874024,47.46666666666667,47.46666666666667,0.9030250282758842,-5.0,0,34,2,4,12,0,454,0,258,4.445333846410116
8,8000,1,1.0,0.0,0.0,4.444666697705785,47.53333333333333,47.53333333333333,0.903647972819996,-4.933333333333334,0,61,3,8,6,0,450,8,255,4.444667196273803
9,9000,1,1.0,0.0,0.0,4.446666696791848,47.333333333333336,47.333333333333336,0.9007219510144636,-5.133333333333334,0,69,2,7,8,0,451,4,255,4.446667146682739
10,10000,1,1.0,0.0,0.0,4.444000027080377,47.6,47.6,0.9058394711804483,-4.866666666666666,0,37,0,6,10,0,458,0,256,4.44400053024292
