eval_index,timestep,num_rl_agents,tsr,timeout_rate,non_timeout_failure_rate,mean_reward,mean_episode_length_per_car,mean_steps_per_completed_car,mean_policy_to_expert_step_ratio,mean_excess_steps_vs_expert,traffic_violation_count,rollout_traffic_violations_since_last_eval,rollout_failures_since_last_eval,rollout_timeouts_since_last_eval,rollout_successes_since_last_eval,action_slow_count,action_fast_count,action_normal_count,action_stop_count,agent_car_1_mean_reward,agent_car_2_mean_reward
1,5000,2,0.0,1.0,0.0,-3.0,37.5,1125.0,1.722088909208623,28.733333333333334,0,514,15,22,5,0,0,0,2250,0.0,0.0
2,10000,2,0.06666666666666667,1.0,0.0,-0.7516666000088056,37.5,281.25,1.722088909208623,28.733333333333334,0,451,11,22,7,0,478,38,1734,2.41666699051857,2.0800002098083494
3,15000,2,0.3333333333333333,0.6,0.06666666666666667,1.4300001017749309,34.766666666666666,80.23076923076923,1.6209715890808076,23.266666666666666,2,446,4,26,6,0,829,0,1259,3.9900010029474893,2.4700005849202475
4,20000,2,0.4666666666666667,0.4666666666666667,0.06666666666666667,2.2133334442973136,33.13333333333333,58.470588235294116,1.531181592246148,20.0,3,504,7,21,13,0,910,0,1080,4.346667641401291,2.880000678698222
5,25000,2,0.4,0.5333333333333333,0.06666666666666667,1.83333343702058,33.86666666666667,67.73333333333333,1.5647672366417502,21.466666666666665,3,471,8,20,12,0,884,0,1150,4.160000967979431,2.706667313973109
6,30000,2,0.4,0.5333333333333333,0.06666666666666667,1.8250001020729543,33.6,67.2,1.5497617773200216,20.933333333333334,2,474,8,22,11,0,871,0,1147,4.160000934203466,2.6900006810824078
7,35000,2,0.4,0.4666666666666667,0.13333333333333333,1.9833334431052208,32.56666666666667,57.470588235294116,1.4852054319589778,18.866666666666667,4,369,9,21,11,0,927,11,1020,3.7366676688194276,3.0300007820129395
8,40000,2,0.3333333333333333,0.6,0.06666666666666667,1.4816667673488457,33.63333333333333,72.07142857142857,1.572552782611027,21.0,14,443,8,22,11,0,852,28,1140,4.233334227403005,2.33000056942304
9,45000,2,0.3333333333333333,0.5333333333333333,0.13333333333333333,1.6933334403981766,33.1,66.2,1.5271899715922939,19.933333333333334,256,328,9,20,12,0,895,51,1044,3.560000842809677,3.026667543252309
10,50000,2,0.3333333333333333,0.5333333333333333,0.13333333333333333,1.4250001031905413,33.0,76.15384615384616,1.5262023859563707,19.733333333333334,425,517,11,23,9,0,866,34,1084,3.206667443116506,2.843334066867828
