eval_index,timestep,num_rl_agents,tsr,timeout_rate,non_timeout_failure_rate,mean_reward,mean_episode_length_per_car,mean_steps_per_completed_car,mean_policy_to_expert_step_ratio,mean_excess_steps_vs_expert,traffic_violation_count,rollout_traffic_violations_since_last_eval,rollout_failures_since_last_eval,rollout_timeouts_since_last_eval,rollout_successes_since_last_eval,action_slow_count,action_fast_count,action_normal_count,action_stop_count,agent_car_1_mean_reward,agent_car_2_mean_reward
1,3000,2,0.0,1.0,0.0,0.0,37.46666666666667,1124.0,1.102102669166561,5.2,0,289,8,12,4,0,0,0,2248,0.0,0.0
2,6000,2,0.0,1.0,0.0,0.0,37.46666666666667,1124.0,1.102102669166561,5.2,0,213,4,16,3,0,0,0,2248,0.0,0.0
3,9000,2,0.0,1.0,0.0,0.0,37.46666666666667,1124.0,1.102102669166561,5.2,0,322,5,16,2,0,0,0,2248,0.0,0.0
4,12000,2,0.4666666666666667,0.5333333333333333,0.0,3.846666742488742,34.53333333333333,60.94117647058823,1.0095146918645523,-0.6666666666666666,0,166,4,18,1,0,578,342,1152,4.06333336358269,3.486666711171468
5,15000,2,0.5333333333333333,0.4666666666666667,0.0,3.558333396166563,33.5,59.11764705882353,0.9761355293833319,-2.7333333333333334,0,217,9,12,5,0,511,330,1169,3.5433335177600385,3.433333130677541
6,18000,2,0.3333333333333333,0.6666666666666666,0.0,2.910000084588925,34.266666666666666,93.45454545454545,1.0046789797772757,-1.2,0,497,10,10,6,1,633,1,1421,2.916667118916909,2.766667091846466
7,21000,2,0.4,0.6,0.0,3.473333390181263,34.4,68.8,1.0031612700647772,-0.9333333333333333,0,186,7,14,4,0,348,567,1149,3.533332931250334,3.276666303475698
8,24000,2,0.4666666666666667,0.5333333333333333,0.0,3.5116667399803796,33.06666666666667,62.0,0.9620028475867956,-3.6,60,182,7,15,4,24,562,268,1130,3.5833335352440674,3.3033334970474244
9,27000,2,0.4,0.5333333333333333,0.06666666666666667,3.163333398972948,33.3,66.6,0.9747635623522956,-3.1333333333333333,1,267,5,14,5,27,292,671,1010,3.6266662021478018,2.5633328835169475
10,30000,2,0.3333333333333333,0.6666666666666666,0.0,3.273333391547203,34.86666666666667,80.46153846153847,1.0167208122175397,0.0,0,230,5,13,6,37,295,598,1162,3.4333331316709517,2.96999960343043
