eval_index,timestep,num_rl_agents,tsr,timeout_rate,non_timeout_failure_rate,mean_reward,mean_episode_length_per_car,mean_steps_per_completed_car,mean_policy_to_expert_step_ratio,mean_excess_steps_vs_expert,traffic_violation_count,rollout_traffic_violations_since_last_eval,rollout_failures_since_last_eval,rollout_timeouts_since_last_eval,rollout_successes_since_last_eval,action_slow_count,action_fast_count,action_normal_count,action_stop_count,agent_car_1_mean_reward,agent_car_2_mean_reward,agent_car_3_mean_reward
1,5001,3,0.0,0.6,0.4,-3.5233333092182875,17.266666666666666,777.0,1.0285731154326099,-1.9333333333333333,10,703,20,14,0,0,185,0,2164,0.32333331430951756,-1.9866667153934638,-3.5066666344801587
2,10002,3,0.06666666666666667,0.5333333333333333,0.4,-0.8866666263590256,16.77777777777778,58.07692307692308,0.9914013982608926,-3.4,111,727,18,13,3,0,1045,0,1238,3.4600006977717084,-0.4399998843669891,-0.8799997210502625
3,15003,3,0.2,0.6,0.3333333333333333,-1.0477777204165857,17.666666666666668,61.15384615384615,1.0235332430243163,-0.7333333333333333,109,592,13,13,4,1,1053,0,1346,3.4300006151199343,-0.5866665470103423,-0.5866664350032806
4,20004,3,0.06666666666666667,0.6,0.3333333333333333,-1.1555554990967114,17.644444444444446,79.4,1.021513041004114,-0.8,114,643,22,13,2,0,1032,0,1365,3.180000599225362,-0.5866665470103423,-0.6599998970826467
5,25005,3,0.06666666666666667,0.5333333333333333,0.4,-1.4255555232365926,16.68888888888889,93.875,0.9841286709881651,-3.6666666666666665,108,682,16,15,3,0,867,0,1404,2.8366671038170654,-0.8266666049758593,-1.4866665363311768
6,30006,3,0.06666666666666667,0.5333333333333333,0.4,-1.0755554977804422,16.711111111111112,62.666666666666664,0.9853407922002865,-3.6,18,588,15,15,1,0,1129,0,1145,3.2000005833804606,-0.3166664237777392,-1.3099998851617178
7,35007,3,0.06666666666666667,0.4666666666666667,0.4666666666666667,-1.2911110886683066,16.6,83.0,0.9791887052934826,-3.933333333333333,116,575,17,15,1,0,957,0,1305,3.1033338817457357,-0.7333332414428393,-2.043333202600479
8,40008,3,0.06666666666666667,0.6,0.3333333333333333,-0.9666666115323702,17.666666666666668,66.25,1.0227251622162352,-0.7333333333333333,108,756,19,14,1,0,1085,1,1314,3.6433342727522056,-0.5866665517290434,-0.5566664795080821
9,45009,3,0.06666666666666667,0.5333333333333333,0.4,-1.4811110460509858,16.8,94.5,0.9737600392888482,-3.3333333333333335,170,640,25,12,3,0,918,0,1368,3.3000006787478924,-1.4666665859520436,-1.4766665915648143
10,50010,3,0.06666666666666667,0.6,0.3333333333333333,-1.0088888329764207,17.622222222222224,72.0909090909091,1.020300919791993,-0.8666666666666667,101,718,11,15,3,0,1071,0,1323,3.5833341710269453,-0.5833332168559233,-0.6266665518283844
11,55011,3,0.06666666666666667,0.6,0.3333333333333333,-1.0833332748462756,17.622222222222224,79.3,1.0194928389839122,-0.8666666666666667,134,725,13,17,1,0,1022,0,1372,3.396667420119047,-0.6733332430322965,-0.5733331640561422
12,60012,3,0.06666666666666667,0.4,0.5333333333333333,-0.8511110670864582,16.4,56.76923076923077,1.0151281960596519,-4.533333333333333,47,681,13,16,2,0,1113,3,1122,2.8900004933277765,-0.27666643460591633,-1.5666663289070129
13,65013,3,0.13333333333333333,0.4,0.4666666666666667,-0.6244443915784359,16.333333333333332,52.5,1.0102907208246337,-4.733333333333333,332,606,15,15,2,0,1029,1,1196,2.960000617305438,-0.40333311557769774,-0.8299996395905812
