eval_index,timestep,num_rl_agents,tsr,timeout_rate,non_timeout_failure_rate,mean_reward,mean_episode_length_per_car,mean_steps_per_completed_car,mean_policy_to_expert_step_ratio,mean_excess_steps_vs_expert,traffic_violation_count,rollout_traffic_violations_since_last_eval,rollout_failures_since_last_eval,rollout_timeouts_since_last_eval,rollout_successes_since_last_eval,action_slow_count,action_fast_count,action_normal_count,action_stop_count,agent_car_1_mean_reward,agent_car_2_mean_reward,agent_car_3_mean_reward
1,4002,3,0.0,1.0,0.0,-3.70222220349436,25.0,1125.0,1.5003485949616193,21.266666666666666,0,54,9,13,1,0,0,25,3350,-0.7499995827674866,-0.7066662788391114,-0.6499996672074
2,8004,3,0.0,1.0,0.0,-3.040666650608182,25.0,562.5,1.5003485949616193,21.266666666666666,0,85,17,10,3,0,257,0,3118,-0.17333297928174338,-0.1299997580697133,0.18133352869252364
3,12006,3,0.6666666666666666,0.3333333333333333,0.0,3.5468888871216526,22.0,26.756756756756758,1.295316211237431,12.266666666666667,0,58,18,13,1,0,2068,0,902,5.2446666558583575,3.950000031789144,4.445999566713969
4,16008,3,0.9333333333333333,0.06666666666666667,0.0,4.669555572715278,19.622222222222224,20.53488372093023,1.139734582806336,5.133333333333334,0,74,15,11,3,0,2205,0,444,5.514000193277995,4.0800001412630085,5.014666485786438
5,20010,3,0.8,0.2,0.0,4.216222236274431,20.244444444444444,22.21951219512195,1.1760729740666431,7.0,0,28,13,14,1,0,2270,0,463,5.425333070755005,4.0760001838207245,4.947333248456319
6,24012,3,0.8666666666666667,0.13333333333333333,0.0,4.437777791389575,20.31111111111111,21.761904761904763,1.1791014318669981,7.2,0,96,6,15,1,0,2258,0,484,5.425333134333292,4.078000111381213,5.009999855359395
7,28014,3,0.6666666666666666,0.3333333333333333,0.0,3.7222222291554012,20.555555555555557,23.71794871794872,1.1898848836030234,7.933333333333334,0,36,9,10,5,0,2278,0,497,5.175999720891316,4.052666823069255,4.937999924023946
8,32016,3,0.8,0.2,0.0,4.1860000033242,20.31111111111111,22.29268292682927,1.1782524974312638,7.2,0,79,15,13,1,0,2265,0,477,5.262666463851929,4.074000185728073,5.021333241462708
9,36018,3,0.8,0.2,0.0,4.218000016097601,20.266666666666666,22.24390243902439,1.1771814985838487,7.066666666666666,0,57,8,13,3,0,2269,0,467,5.360666481653849,4.082666844129562,5.0106665849685665
10,40002,3,0.8666666666666667,0.13333333333333333,0.0,4.444222237573316,19.822222222222223,20.74418604651163,1.152497347698495,5.733333333333333,0,75,11,13,2,0,2232,0,444,5.3480002562205,4.094000152746836,5.090666492780049
