eval_index,timestep,num_rl_agents,tsr,timeout_rate,non_timeout_failure_rate,mean_reward,mean_episode_length_per_car,mean_steps_per_completed_car,mean_policy_to_expert_step_ratio,mean_excess_steps_vs_expert,traffic_violation_count,rollout_traffic_violations_since_last_eval,rollout_failures_since_last_eval,rollout_timeouts_since_last_eval,rollout_successes_since_last_eval,action_slow_count,action_fast_count,action_normal_count,action_stop_count,agent_car_1_mean_reward,agent_car_2_mean_reward,agent_car_3_mean_reward
1,3000,3,0.0,0.9333333333333333,0.06666666666666667,-0.42222221692403156,24.488888888888887,1102.0,0.9499404533960131,-7.4,1,307,14,7,1,0,0,0,3309,0.0,0.0,-0.6666666666666666
2,6000,3,0.0,0.9333333333333333,0.06666666666666667,-0.42222221692403156,24.488888888888887,1102.0,0.9499404533960131,-7.4,1,386,7,9,1,0,0,0,3309,0.0,0.0,-0.6666666666666666
3,9000,3,0.0,0.9333333333333333,0.06666666666666667,-0.42222221692403156,24.488888888888887,1102.0,0.9499404533960131,-7.4,1,227,8,12,0,0,0,0,3309,0.0,0.0,-0.6666666666666666
4,12000,3,0.0,0.9333333333333333,0.06666666666666667,-0.42222221692403156,24.488888888888887,1102.0,0.9499404533960131,-7.4,1,406,9,10,0,0,0,0,3309,0.0,0.0,-0.6666666666666666
5,15000,3,0.0,0.9333333333333333,0.06666666666666667,-0.42222221692403156,24.488888888888887,1102.0,0.9499404533960131,-7.4,1,464,13,7,0,0,0,0,3309,0.0,0.0,-0.6666666666666666
6,18000,3,0.0,0.9333333333333333,0.06666666666666667,-0.42222221692403156,24.488888888888887,1102.0,0.9499404533960131,-7.4,1,376,16,7,2,0,0,0,3309,0.0,0.0,-0.6666666666666666
7,21000,3,0.0,1.0,0.0,0.1233333391447862,25.0,1125.0,0.9673646958202553,-5.866666666666666,0,373,9,11,0,0,109,0,3266,0.47333333690961205,0.3366666555404663,0.16000000635782877
8,24000,3,0.0,0.9333333333333333,0.06666666666666667,-0.42222221692403156,24.488888888888887,1102.0,0.9499404533960131,-7.4,1,448,17,4,1,0,0,0,3309,0.0,0.0,-0.6666666666666666
9,27000,3,0.0,1.0,0.0,0.07555555999279022,25.0,1125.0,0.9673646958202553,-5.866666666666666,0,353,7,10,1,0,88,0,3287,0.3099999924500783,0.3566666622956594,0.16000000635782877
10,30000,3,0.0,0.9333333333333333,0.06666666666666667,0.5444444635262092,23.977777777777778,539.5,0.9235551720107316,-8.933333333333334,1,478,14,8,1,0,317,0,2923,0.966666649778684,0.6033333003520965,0.6633333186308543
