exp_name,assignment_name,model_slot_mapping,permutation_index,method,difficulty,seed,split,eval_index,timestep,wall_clock_time_sec,best_tsr_so_far,num_eval_episodes,tsr,mean_reward,failure_rate,timeout_rate,mean_episode_length,num_rl_agents,mean_agent_tsr,joint_tsr,joint_failure_rate,joint_timeout_rate,episodes_all_k_success,episodes_joint_failure,episodes_joint_timeout,mean_completed_rl_agents,mean_completed_rl_fraction,mean_completed_rl_agents_before_failure,mean_completed_rl_agents_before_timeout,mean_episode_length_per_rl_agent,mean_steps_per_completed_rl_agent,successful_rl_agents_per_1k_episode_steps,mean_episode_length_per_car,mean_steps_per_completed_car,successful_cars_per_1k_episode_steps,mean_expert_reference_step_count,mean_policy_to_expert_step_ratio,mean_excess_steps_vs_expert,action_slow_count,action_normal_count,action_fast_count,action_stop_count,mean_decision_succ,mean_base_policy_safe_prob,mean_shielded_policy_safe_prob,mean_safety_gain,shield_intervention_rate,mean_policy_kl_base_to_shielded,mean_l1_shift_base_to_shielded,hazard_step_rate,shield_forced_stop_rate,base_action_slow_count,base_action_normal_count,base_action_fast_count,base_action_stop_count,shielded_action_slow_count,shielded_action_normal_count,shielded_action_fast_count,shielded_action_stop_count,mean_safe_prob_action_slow,mean_safe_prob_action_normal,mean_safe_prob_action_fast,mean_safe_prob_action_stop,rollout_failures_since_last_eval,rollout_timeouts_since_last_eval,rollout_successes_since_last_eval,goal_completion_rate,mean_agent_goal_completion_rate,failure_rate_per_goal,failure_rate_per_1k_steps,unfinished_goal_rate,completed_goals,failed_goals,active_goals_at_budget,deployment_count,failure_reset_count,resolved_goal_attempts,resolved_goal_quota_per_agent,micro_rollout_tsr,micro_rollout_failure_rate,macro_rollout_tsr,macro_rollout_failure_rate,mean_steps_per_resolved_goal_attempt,successful_goals_per_1k_steps,resolved_goal_attempts_per_1k_steps,agent_car_1_failure_involvement_rate,agent_car_1_mean_active_steps,agent_car_1_mean_reward,agent_car_1_timeout_unresolved_rate,agent_car_1_tsr,non_timeout_failure_rate,rollout_agent_steps_since_last_eval,rollout_required_stop_rate_since_last_eval,rollout_stop_needed_steps_since_last_eval,rollout_traffic_violations_since_last_eval,traffic_violation_count,decision_succ_action_stop,fail_rl_agent_3,fail_rule_Collision,fail_rule_Collision_Close,fail_rule_Intersection_Right-of-Way,fail_rule_Simultaneous_Intersection_Entry
agr,,,,PLPGPPO,unknown,2,val,1,5000,1845.3915321826935,0.8666666666666667,15,0.8666666666666667,2.673333447923263,0.13333333333333333,0.0,31.133333333333333,1,0.8666666666666667,0.8666666666666667,0.13333333333333333,0.0,13,2,0,0.8666666666666667,0.8666666666666667,0.0,0.0,31.133333333333333,35.92307692307692,27.8372591006424,31.133333333333333,35.92307692307692,27.8372591006424,54.0,0.5860436323856112,-22.866666666666667,0,57,405,7,0.0,0.9033521592998301,0.903622540965009,0.00027038166517896186,1.0,0.00017931959240574208,0.01224593246288137,0.11153800558370314,1.0,0,0,469,0,0,57,405,7,0.9121117974395183,0.9030357793704279,0.8958681202900689,0.9032655930214091,7,32,40,,,,,,,,,,,,,,,,,,,,0.13333333333333333,31.266666666666666,2.673333994547526,0.0,0.8666666666666667,0.13333333333333333,5000,0.0806,403,307,84,0.0,2,2,0,82,0
agr,,,,PLPGPPO,unknown,2,val,2,10000,3874.4062287807465,0.8666666666666667,15,0.8666666666666667,0.3000003509223461,0.13333333333333333,0.0,29.533333333333335,1,0.8666666666666667,0.8666666666666667,0.13333333333333333,0.0,13,2,0,0.8666666666666667,0.8666666666666667,0.0,0.0,29.533333333333335,34.07692307692308,29.345372460496613,29.533333333333335,34.07692307692308,29.345372460496613,54.0,0.559317608762673,-24.466666666666665,0,0,445,0,0.0,0.90760676137517,0.9078609846950917,0.0002542233199216007,1.0,0.00016756466984895342,0.011447882250453649,0.10454219741265426,0.0,0,0,445,0,0,0,445,0,0.9165175420514653,0.9080118357465509,0.9009414040640499,0.906971756929762,9,34,41,,,,,,,,,,,,,,,,,,,,0.13333333333333333,29.666666666666668,0.30000104904174807,0.0,0.8666666666666667,0.13333333333333333,5000,0.067,335,266,81,0.0,2,2,1,78,0
agr,,,,PLPGPPO,unknown,2,val,3,15000,5888.599754333496,0.8666666666666667,15,0.8666666666666667,0.3000003509223461,0.13333333333333333,0.0,30.266666666666666,1,0.8666666666666667,0.8666666666666667,0.13333333333333333,0.0,13,2,0,0.8666666666666667,0.8666666666666667,0.0,0.0,30.266666666666666,34.92307692307692,28.634361233480178,30.266666666666666,34.92307692307692,28.634361233480178,54.0,0.5741555200710283,-23.733333333333334,0,0,456,0,0.0,0.9106994084360307,0.9109138634644056,0.00021445502837498984,1.0,0.00013989193169101398,0.010031723662426597,0.09858167267061378,0.0,0,0,456,0,0,0,456,0,0.9198176669969893,0.9117895269341636,0.9050779411928696,0.9096758304196492,8,25,59,,,,,,,,,,,,,,,,,,,,0.13333333333333333,30.4,0.3000011126200358,0.0,0.8666666666666667,0.13333333333333333,5000,0.0708,354,282,77,0.0,2,2,0,75,0
agr,,,,PLPGPPO,unknown,2,val,4,20000,7631.559370756149,0.8666666666666667,15,0.8,0.2500000181297461,0.2,0.0,35.6,1,0.8,0.8,0.2,0.0,12,3,0,0.8,0.8,0.0,0.0,35.6,44.5,22.471910112359552,35.6,44.5,22.471910112359552,54.0,0.6679048927468614,-18.4,0,324,213,0,0.0,0.9075195179971237,0.9077453629930592,0.00022584499593553597,1.0,0.0001501482367946756,0.010169418719449744,0.10435008881977817,0.0,0,302,235,0,0,324,213,0,0.916817160514036,0.9082840796511489,0.9014245727874713,0.9072521664132841,12,25,54,,,,,,,,,,,,,,,,,,,,0.2,35.8,0.24999942779541015,0.0,0.8,0.2,5000,0.0638,319,274,93,0.0,3,3,2,88,0
agr,,,,PLPGPPO,unknown,2,val,5,25000,9413.19741153717,0.8666666666666667,15,0.8,-0.10999995072682699,0.2,0.0,34.666666666666664,1,0.8,0.8,0.2,0.0,12,3,0,0.8,0.8,0.0,0.0,34.666666666666664,43.333333333333336,23.076923076923077,34.666666666666664,43.333333333333336,23.076923076923077,54.0,0.6486922722114229,-19.333333333333332,0,300,223,0,0.0,0.9055106427883782,0.9057324962907722,0.00022185350239390853,1.0,0.00014809085490294675,0.010021056402937632,0.10702083239876746,0.0,0,300,223,0,0,300,223,0,0.9150105025298737,0.9062205722865365,0.8993142562888092,0.9057125835528109,14,21,60,,,,,,,,,,,,,,,,,,,,0.2,34.86666666666667,-0.11000038782755533,0.0,0.8,0.2,5000,0.0674,337,294,96,0.0,3,3,3,90,0
agr,,,,PLPGPPO,unknown,2,val,6,30000,11194.452706813812,0.8666666666666667,15,0.8,-0.11666666145126024,0.2,0.0,39.93333333333333,1,0.8,0.8,0.2,0.0,12,3,0,0.8,0.8,0.0,0.0,39.93333333333333,49.916666666666664,20.03338898163606,39.93333333333333,49.916666666666664,20.03338898163606,54.0,0.7467143445972955,-14.066666666666666,0,602,0,0,0.0,0.9191229330542872,0.9192755137171064,0.0001525806628192382,1.0,0.00010177136434482308,0.0076498009784277095,0.08436877265622053,0.0,0,602,0,0,0,602,0,0,0.9273373383620253,0.9203486075234968,0.9145186684060335,0.9157742148023903,6,18,64,,,,,,,,,,,,,,,,,,,,0.2,40.13333333333333,-0.1166681448618571,0.0,0.8,0.2,5000,0.0504,252,228,72,0.0,3,3,3,66,0
agr,,,,PLPGPPO,unknown,2,val,7,35000,13079.646600484848,0.8666666666666667,15,0.8,-0.11666666145126024,0.2,0.0,39.93333333333333,1,0.8,0.8,0.2,0.0,12,3,0,0.8,0.8,0.0,0.0,39.93333333333333,49.916666666666664,20.03338898163606,39.93333333333333,49.916666666666664,20.03338898163606,54.0,0.7467143445972955,-14.066666666666666,0,602,0,0,0.0,0.9188482013849721,0.9190020536465502,0.0001538522615781258,1.0,0.0001021754516805352,0.007708331650475727,0.08523806548395822,0.0,0,602,0,0,0,602,0,0,0.9270224214788291,0.9200003367919859,0.9140638405104412,0.9155462262440361,10,20,66,,,,,,,,,,,,,,,,,,,,0.2,40.13333333333333,-0.1166681448618571,0.0,0.8,0.2,5000,0.045,225,205,72,0.0,3,3,3,66,0
agr,,,,PLPGPPO,unknown,2,val,8,40000,14955.272079706192,0.8666666666666667,15,0.8,-0.11666666145126024,0.2,0.0,39.93333333333333,1,0.8,0.8,0.2,0.0,12,3,0,0.8,0.8,0.0,0.0,39.93333333333333,49.916666666666664,20.03338898163606,39.93333333333333,49.916666666666664,20.03338898163606,54.0,0.7467143445972955,-14.066666666666666,0,602,0,0,0.0,0.9193224483154144,0.9194751322467462,0.00015268393133169788,1.0,0.00010239216185995204,0.0075731551850158904,0.08401918640217908,0.0,0,602,0,0,0,602,0,0,0.9275912769213072,0.9206487817621707,0.9147810408245289,0.9159931949404783,1,22,71,,,,,,,,,,,,,,,,,,,,0.2,40.13333333333333,-0.1166681448618571,0.0,0.8,0.2,5000,0.0546,273,252,72,0.0,3,3,3,66,0
agr,,,,PLPGPPO,unknown,2,val,9,45000,16807.07411122322,0.8666666666666667,15,0.8,-0.11666666145126024,0.2,0.0,39.93333333333333,1,0.8,0.8,0.2,0.0,12,3,0,0.8,0.8,0.0,0.0,39.93333333333333,49.916666666666664,20.03338898163606,39.93333333333333,49.916666666666664,20.03338898163606,54.0,0.7467143445972955,-14.066666666666666,0,602,0,0,0.0,0.9183499259608132,0.9185088975881025,0.0001589716272892746,1.0,0.00010619675132779186,0.0077613860962794864,0.0857904405144362,0.0,0,602,0,0,0,602,0,0,0.9266939591925801,0.9196461677749291,0.913666307827167,0.9152730012256838,6,16,73,,,,,,,,,,,,,,,,,,,,0.2,40.13333333333333,-0.1166681448618571,0.0,0.8,0.2,5000,0.049,245,231,72,0.0,3,3,3,66,0
agr,,,,PLPGPPO,unknown,2,val,10,50000,18637.590430021286,0.8666666666666667,15,0.8,-0.11666666145126024,0.2,0.0,39.93333333333333,1,0.8,0.8,0.2,0.0,12,3,0,0.8,0.8,0.0,0.0,39.93333333333333,49.916666666666664,20.03338898163606,39.93333333333333,49.916666666666664,20.03338898163606,54.0,0.7467143445972955,-14.066666666666666,0,602,0,0,0.0,0.9185265388797684,0.9186713755922856,0.00014483671251721555,1.0,9.634416651548188e-05,0.007218072828264331,0.085454583403181,0.0,0,602,0,0,0,602,0,0,0.9269025217853115,0.9198089598421243,0.9139536021159733,0.9154479795714153,6,13,74,,,,,,,,,,,,,,,,,,,,0.2,40.13333333333333,-0.1166681448618571,0.0,0.8,0.2,5000,0.0548,274,240,72,0.0,3,3,3,66,0
