eval_index,timestep,num_rl_agents,tsr,timeout_rate,non_timeout_failure_rate,mean_reward,mean_episode_length_per_car,mean_steps_per_completed_car,mean_policy_to_expert_step_ratio,mean_excess_steps_vs_expert,traffic_violation_count,rollout_traffic_violations_since_last_eval,rollout_failures_since_last_eval,rollout_timeouts_since_last_eval,rollout_successes_since_last_eval,action_slow_count,action_fast_count,action_normal_count,action_stop_count,agent_car_1_mean_reward
1,5000,1,0.8666666666666667,0.0,0.13333333333333333,2.673333447923263,31.133333333333333,35.92307692307692,0.5860436323856112,-22.866666666666667,84,307,7,32,40,0,405,57,7,2.673333994547526
2,10000,1,0.8666666666666667,0.0,0.13333333333333333,0.3000003509223461,29.533333333333335,34.07692307692308,0.559317608762673,-24.466666666666665,81,266,9,34,41,0,445,0,0,0.30000104904174807
3,15000,1,0.8666666666666667,0.0,0.13333333333333333,0.3000003509223461,30.266666666666666,34.92307692307692,0.5741555200710283,-23.733333333333334,77,282,8,25,59,0,456,0,0,0.3000011126200358
4,20000,1,0.8,0.0,0.2,0.2500000181297461,35.6,44.5,0.6679048927468614,-18.4,93,274,12,25,54,0,213,324,0,0.24999942779541015
5,25000,1,0.8,0.0,0.2,-0.10999995072682699,34.666666666666664,43.333333333333336,0.6486922722114229,-19.333333333333332,96,294,14,21,60,0,223,300,0,-0.11000038782755533
6,30000,1,0.8,0.0,0.2,-0.11666666145126024,39.93333333333333,49.916666666666664,0.7467143445972955,-14.066666666666666,72,228,6,18,64,0,0,602,0,-0.1166681448618571
7,35000,1,0.8,0.0,0.2,-0.11666666145126024,39.93333333333333,49.916666666666664,0.7467143445972955,-14.066666666666666,72,205,10,20,66,0,0,602,0,-0.1166681448618571
8,40000,1,0.8,0.0,0.2,-0.11666666145126024,39.93333333333333,49.916666666666664,0.7467143445972955,-14.066666666666666,72,252,1,22,71,0,0,602,0,-0.1166681448618571
9,45000,1,0.8,0.0,0.2,-0.11666666145126024,39.93333333333333,49.916666666666664,0.7467143445972955,-14.066666666666666,72,231,6,16,73,0,0,602,0,-0.1166681448618571
10,50000,1,0.8,0.0,0.2,-0.11666666145126024,39.93333333333333,49.916666666666664,0.7467143445972955,-14.066666666666666,72,240,6,13,74,0,0,602,0,-0.1166681448618571
