eval_index,timestep,num_rl_agents,tsr,timeout_rate,non_timeout_failure_rate,mean_reward,mean_episode_length_per_car,mean_steps_per_completed_car,mean_policy_to_expert_step_ratio,mean_excess_steps_vs_expert,traffic_violation_count,rollout_traffic_violations_since_last_eval,rollout_failures_since_last_eval,rollout_timeouts_since_last_eval,rollout_successes_since_last_eval,action_slow_count,action_fast_count,action_normal_count,action_stop_count,agent_car_1_mean_reward
1,5000,1,1.0,0.0,0.0,5.23000014796853,49.333333333333336,49.333333333333336,0.9147348683296108,-4.666666666666667,0,259,6,34,42,0,427,75,238,5.230000766118367
2,10000,1,0.8666666666666667,0.0,0.13333333333333333,3.443333478520314,45.4,52.38461538461539,0.824398512964803,-8.6,2,278,7,31,43,0,439,17,227,3.4433342297871907
3,15000,1,0.8666666666666667,0.0,0.13333333333333333,1.7533335770169893,43.6,50.30769230769231,0.8120258986538172,-10.4,7,235,6,36,43,0,440,5,211,1.7533341248830159
4,20000,1,0.8666666666666667,0.0,0.13333333333333333,3.3266668086250624,44.333333333333336,51.15384615384615,0.8213719984423723,-9.666666666666666,15,255,6,32,48,0,434,6,227,3.3266675313313803
5,25000,1,0.8666666666666667,0.0,0.13333333333333333,1.883333582431078,44.13333333333333,50.92307692307692,0.7949127022209276,-9.866666666666667,23,218,8,27,53,0,446,6,212,1.8833342393239338
6,30000,1,0.8666666666666667,0.0,0.13333333333333333,1.8833335819343726,43.46666666666667,50.15384615384615,0.7873024054297567,-10.533333333333333,28,252,4,30,52,4,446,7,197,1.883334255218506
7,35000,1,0.9333333333333333,0.0,0.06666666666666667,2.6933335813383263,37.46666666666667,40.142857142857146,0.6999650486577308,-16.533333333333335,67,204,7,20,70,3,440,30,90,2.6933340549468996
8,40000,1,1.0,0.0,0.0,5.230000156412522,41.13333333333333,41.13333333333333,0.7644738152493702,-12.866666666666667,57,266,2,19,71,18,466,14,119,5.2300007502237955
9,45000,1,0.8666666666666667,0.0,0.13333333333333333,0.3000003491838773,34.13333333333333,39.38461538461539,0.6404562674557827,-19.866666666666667,60,313,6,17,74,0,445,14,55,0.30000098546346027
10,50000,1,0.8666666666666667,0.0,0.13333333333333333,0.30000034868717196,34.46666666666667,39.76923076923077,0.6457152314319627,-19.533333333333335,64,248,9,20,66,1,439,20,59,0.30000089009602865
