eval_index,timestep,num_rl_agents,tsr,timeout_rate,non_timeout_failure_rate,mean_reward,mean_episode_length_per_car,mean_steps_per_completed_car,mean_policy_to_expert_step_ratio,mean_excess_steps_vs_expert,traffic_violation_count,rollout_traffic_violations_since_last_eval,rollout_failures_since_last_eval,rollout_timeouts_since_last_eval,rollout_successes_since_last_eval,action_slow_count,action_fast_count,action_normal_count,action_stop_count,agent_car_1_mean_reward,agent_car_2_mean_reward
1,5000,2,0.4666666666666667,0.2,0.3333333333333333,1.3116667045901218,28.4,60.857142857142854,0.8459418170418146,-12.933333333333334,1022,498,11,19,10,421,530,31,732,0.2566669464111328,2.3666666110356647
2,10000,2,0.4666666666666667,0.0,0.5333333333333333,0.34833339154720305,16.133333333333333,32.266666666666666,0.479599355907586,-37.46666666666667,343,417,11,21,9,321,597,10,56,-0.2599996487299601,0.9566667556762696
3,15000,2,0.4,0.0,0.6,-5.2183331041286385,12.133333333333333,30.333333333333332,0.35112036218270526,-45.46666666666667,174,451,11,24,6,13,659,19,55,-1.4166664560635884,-9.019999464352926
4,20000,2,0.5333333333333333,0.0,0.4666666666666667,-5.704999720056851,12.566666666666666,23.5625,0.36246022723489474,-44.6,182,490,16,20,9,0,696,69,3,1.8933337847391765,-13.303332662582397
5,25000,2,0.5333333333333333,0.0,0.4666666666666667,-3.4416663823028406,12.333333333333334,23.125,0.35528389907026486,-45.06666666666667,165,404,14,19,11,0,738,16,0,1.876667026678721,-8.759999450047811
6,30000,2,0.5333333333333333,0.0,0.4666666666666667,-4.329999868075053,12.166666666666666,22.8125,0.35080255119551473,-45.4,167,519,15,20,11,0,726,18,0,3.280000352859497,-11.939999357859294
7,35000,2,0.5333333333333333,0.0,0.4666666666666667,-4.591666523615519,12.3,23.0625,0.3547151422325399,-45.13333333333333,170,410,15,16,12,0,731,21,0,3.3100003878275555,-12.493332799275716
8,40000,2,0.4666666666666667,0.0,0.5333333333333333,-5.626666432867448,11.533333333333333,24.714285714285715,0.32461505247385447,-46.666666666666664,161,401,16,21,7,0,688,20,0,3.133333706855774,-14.386666011810302
9,45000,2,0.4666666666666667,0.0,0.5333333333333333,-5.038333048423131,11.6,24.857142857142858,0.3273205781195768,-46.53333333333333,166,344,11,24,6,0,698,14,0,1.6966670711835226,-11.773332667350768
10,50000,2,0.4666666666666667,0.0,0.5333333333333333,-6.284999380384883,11.866666666666667,23.733333333333334,0.3404335953352697,-46.0,168,369,12,24,10,0,728,0,0,0.9633336782455444,-13.533332888285319
11,55000,2,0.4666666666666667,0.0,0.5333333333333333,-6.0983328400800625,12.0,24.0,0.344367354669459,-45.733333333333334,165,411,11,18,16,0,736,0,0,-1.2733328064282736,-10.923332889874777
12,60000,2,0.4666666666666667,0.0,0.5333333333333333,-6.6999993844578665,11.533333333333333,24.714285714285715,0.3259392610023336,-46.666666666666664,166,296,8,22,10,0,708,0,0,3.136667076746623,-16.53666623433431
13,65000,2,0.4,0.0,0.6,-7.591665947188933,11.233333333333333,25.923076923076923,0.3146742446072779,-47.266666666666666,161,463,15,16,13,0,692,0,0,0.7966670354207357,-15.979999510447184
14,70000,2,0.4666666666666667,0.0,0.5333333333333333,-5.961666073277593,11.3,24.214285714285715,0.3186340997176933,-47.13333333333333,156,437,11,14,20,0,694,0,0,0.8866671442985534,-12.809999537467956
15,75000,2,0.4666666666666667,0.0,0.5333333333333333,-6.101666199043393,11.933333333333334,23.866666666666667,0.34225266374840224,-45.86666666666667,163,416,11,12,22,0,732,0,0,-1.283332848548889,-10.919999488194783
16,80000,2,0.5333333333333333,0.0,0.4666666666666667,-5.376666071638465,12.366666666666667,23.1875,0.3567661867784823,-45.0,177,415,9,7,27,0,756,0,0,3.336667009194692,-14.089999548594157
