eval_index,timestep,num_rl_agents,tsr,timeout_rate,non_timeout_failure_rate,mean_reward,mean_episode_length_per_car,mean_steps_per_completed_car,mean_policy_to_expert_step_ratio,mean_excess_steps_vs_expert,traffic_violation_count,rollout_traffic_violations_since_last_eval,rollout_failures_since_last_eval,rollout_timeouts_since_last_eval,rollout_successes_since_last_eval,action_slow_count,action_fast_count,action_normal_count,action_stop_count,agent_car_1_mean_reward,agent_car_2_mean_reward
1,5000,2,0.0,1.0,0.0,0.0,69.73333333333333,2092.0,2.0,69.73333333333333,0,441,13,22,6,0,0,0,4184,0.0,0.0
2,10000,2,0.0,1.0,0.0,0.0,69.73333333333333,2092.0,2.0,69.73333333333333,0,591,15,25,3,0,0,0,4184,0.0,0.0
3,15000,2,0.8,0.2,0.0,4.573333462451895,50.03333333333333,60.04,1.415523495254142,30.333333333333332,0,256,12,18,10,0,974,0,2028,4.69000080426534,4.456667308012644
4,20000,2,0.4666666666666667,0.5333333333333333,0.0,3.183333423237006,50.63333333333333,108.5,1.4772698336731827,31.533333333333335,0,492,11,25,4,0,713,0,2325,3.210000454634428,3.156667216618856
5,25000,2,0.4666666666666667,0.5333333333333333,0.0,3.2033334240317344,51.63333333333333,110.64285714285714,1.4819870577661043,33.53333333333333,202,371,11,27,3,17,699,0,2382,3.3733338842789333,3.0333338022232055
6,30000,2,0.5333333333333333,0.4,0.06666666666666667,3.0750000931322576,43.63333333333333,81.8125,1.282659376928855,17.533333333333335,1,349,11,22,8,0,737,0,1883,3.4900005591412384,2.6600006103515623
7,35000,2,0.4666666666666667,0.4,0.13333333333333333,2.638333431134621,41.6,89.14285714285714,1.249395538591688,13.466666666666667,2,390,14,23,6,0,730,0,1770,3.4600005288918814,1.816667091846466
8,40000,2,0.3333333333333333,0.5333333333333333,0.13333333333333333,2.093333389858405,46.56666666666667,139.7,1.3882174618263303,23.4,2,482,9,19,12,0,591,0,2207,2.860000424832106,1.326667058467865
9,45000,2,0.3333333333333333,0.5333333333333333,0.13333333333333333,2.098333391174674,46.86666666666667,140.6,1.3966632545968412,24.0,3,372,8,17,15,1,602,0,2213,2.8700004629790783,1.3266670902570088
10,50000,2,0.3333333333333333,0.6,0.06666666666666667,2.3700000677257775,52.53333333333333,157.6,1.510364420558655,35.333333333333336,6,546,14,21,7,25,586,0,2543,2.870000451058149,1.8700002710024515
11,55000,2,0.3333333333333333,0.5333333333333333,0.13333333333333333,2.3016667418181895,46.8,127.63636363636364,1.3881853867314684,23.866666666666667,362,490,11,19,11,36,734,0,2042,2.2966670910517375,2.306667149066925
12,60000,2,0.4666666666666667,0.3333333333333333,0.2,1.498333501070738,35.4,75.85714285714286,1.0791600408170565,1.0666666666666667,559,391,17,11,17,2,699,0,1429,2.8866674025853474,0.11000045935312906
13,65000,2,0.5333333333333333,0.26666666666666666,0.2,2.421666744848092,36.13333333333333,67.75,1.047259801073487,2.533333333333333,634,547,6,22,13,5,751,0,1418,2.2866672456264494,2.5566670914491016
14,70000,2,0.4666666666666667,0.3333333333333333,0.2,2.268333414196968,39.03333333333333,83.64285714285714,1.1575540331454488,8.333333333333334,290,497,13,18,10,3,708,0,1637,2.8166672381261986,1.7200004637241364
15,75000,2,0.4,0.4,0.2,2.093333412210147,39.766666666666666,99.41666666666667,1.1968146278194698,9.8,311,359,16,15,14,10,697,0,1685,2.746667234102885,1.4400002717971803
16,80000,2,0.5333333333333333,0.3333333333333333,0.13333333333333333,3.0200000877181687,39.8,70.23529411764706,1.1787195031414592,9.866666666666667,693,484,13,21,9,16,784,0,1592,3.353334041436513,2.686667001247406
