eval_index,timestep,num_rl_agents,tsr,timeout_rate,non_timeout_failure_rate,mean_reward,mean_episode_length_per_car,mean_steps_per_completed_car,mean_policy_to_expert_step_ratio,mean_excess_steps_vs_expert,traffic_violation_count,rollout_traffic_violations_since_last_eval,rollout_failures_since_last_eval,rollout_timeouts_since_last_eval,rollout_successes_since_last_eval,action_slow_count,action_fast_count,action_normal_count,action_stop_count,agent_car_1_mean_reward,agent_car_2_mean_reward
1,5000,2,0.0,0.8666666666666667,0.13333333333333333,1.570000026995937,60.63333333333333,139.92307692307693,1.7795875357519193,51.53333333333333,2,536,15,21,5,0,17,1607,2018,0.0,3.1399986584981283
2,10000,2,0.0,0.8,0.2,0.5883333647002776,60.36666666666667,181.1,1.7446555048198884,51.0,23,359,16,23,5,0,993,440,2195,-0.1966666450103124,1.3733330329259237
3,15000,2,0.7333333333333333,0.0,0.26666666666666666,1.061666697760423,23.733333333333334,32.36363636363637,0.685680485924469,-22.266666666666666,119,452,13,22,7,0,0,1213,219,3.793332310517629,-1.670001252492269
4,20000,2,0.7333333333333333,0.0,0.26666666666666666,1.0583333640048902,23.533333333333335,32.09090909090909,0.6796277627611246,-22.666666666666668,120,537,18,18,11,0,0,1207,213,3.786665642261505,-1.670001252492269
5,25000,2,0.6666666666666666,0.0,0.3333333333333333,-0.46833335794508457,22.8,34.2,0.6453560032459401,-24.133333333333333,125,448,14,20,10,0,482,683,213,3.67666574716568,-4.613332796096802
6,30000,2,0.6,0.0,0.4,-1.1816666619231304,19.233333333333334,32.05555555555556,0.5497656627471982,-31.266666666666666,102,383,10,19,13,0,789,157,220,3.446666876475016,-5.8099992593129475
7,35000,2,0.6,0.0,0.4,-1.1650000022103388,18.533333333333335,30.88888888888889,0.5278640390576128,-32.666666666666664,99,346,12,21,9,0,807,113,204,3.4833335796991984,-5.813332478205363
8,40000,2,0.5333333333333333,0.0,0.4666666666666667,-1.273333437119921,17.933333333333334,31.647058823529413,0.511474615427496,-33.86666666666667,114,386,10,21,10,0,652,246,192,2.4666666706403095,-5.013332668940226
9,45000,2,0.5333333333333333,0.0,0.4666666666666667,-3.696666211138169,16.833333333333332,31.5625,0.47974950809709865,-36.06666666666667,92,512,12,19,10,0,805,13,206,2.490000367164612,-9.883332935969035
10,50000,2,0.5333333333333333,0.0,0.4666666666666667,-3.6933328196406365,16.8,31.5,0.4800742122084663,-36.13333333333333,91,521,11,17,16,0,812,3,207,2.490000371138255,-9.87666630744934
11,55000,2,0.4666666666666667,0.0,0.5333333333333333,-5.234999437009295,16.466666666666665,35.285714285714285,0.4626656917569812,-36.8,95,459,18,21,6,0,799,6,199,2.4266671379407247,-12.89666625658671
12,60000,2,0.4,0.06666666666666667,0.5333333333333333,-4.28499957298239,18.566666666666666,39.785714285714285,0.5260742881635325,-32.6,97,355,17,19,10,0,811,19,300,1.303333620230357,-9.873333009084066
13,65000,2,0.4666666666666667,0.06666666666666667,0.4666666666666667,-3.8016662120819094,19.466666666666665,38.93333333333333,0.5547313646963855,-30.8,98,361,10,24,8,0,876,1,305,2.3000003616015117,-9.903332980473836
14,70000,2,0.4,0.0,0.6,-5.636666226138671,14.5,36.25,0.41323060782345594,-40.733333333333334,91,442,12,17,13,0,717,0,171,1.4300003481407961,-12.703333059946695
15,75000,2,0.3333333333333333,0.06666666666666667,0.6,-5.298333039258917,16.5,45.0,0.4737101705377226,-36.733333333333334,102,341,12,16,15,0,736,0,272,0.32333356539408364,-10.919999774297079
16,80000,2,0.3333333333333333,0.06666666666666667,0.6,-6.098332798853517,16.866666666666667,46.0,0.47603656774471675,-36.0,103,243,15,15,16,0,756,0,274,1.0766669154167174,-13.273333104451497
