eval_index,timestep,num_rl_agents,tsr,timeout_rate,non_timeout_failure_rate,mean_reward,mean_episode_length_per_car,mean_steps_per_completed_car,mean_policy_to_expert_step_ratio,mean_excess_steps_vs_expert,traffic_violation_count,rollout_traffic_violations_since_last_eval,rollout_failures_since_last_eval,rollout_timeouts_since_last_eval,rollout_successes_since_last_eval,action_slow_count,action_fast_count,action_normal_count,action_stop_count,agent_car_1_mean_reward,agent_car_2_mean_reward,agent_car_3_mean_reward
1,5001,3,0.13333333333333333,0.5333333333333333,0.3333333333333333,0.7111112075547378,34.17777777777778,192.25,1.256540893733665,21.666666666666668,8,665,28,11,1,0,260,714,3655,2.3899996757507322,-1.3966665585835776,1.139999936024348
2,10002,3,0.2,0.3333333333333333,0.4666666666666667,0.5377778137723604,24.288888888888888,99.36363636363636,0.9170116914544626,-8.0,14,617,23,13,2,0,885,0,2415,2.676667104164759,-2.4433332085609436,1.3800002018610635
3,15003,3,0.26666666666666666,0.3333333333333333,0.4,0.9955555508534114,25.866666666666667,83.14285714285714,0.9681632066059778,-3.2666666666666666,699,594,23,12,3,0,1031,0,2479,2.8733336985111237,-2.1799999117851256,2.2933336714903514
4,20004,3,0.2,0.3333333333333333,0.4666666666666667,0.42222225355605286,24.11111111111111,108.5,0.9132015062692775,-8.533333333333333,594,646,27,11,2,0,779,0,2497,2.323333668708801,-1.8366666555404663,0.7800002316633861
5,25005,3,0.3333333333333333,0.13333333333333333,0.5333333333333333,0.5322222643842299,20.377777777777776,57.3125,0.7331070441557476,-19.733333333333334,799,617,17,13,4,0,1022,0,1753,2.550000301996867,-2.079999832312266,1.1266669631004333
6,30006,3,0.26666666666666666,0.2,0.5333333333333333,0.15444448292255403,20.711111111111112,71.6923076923077,0.7699236347371686,-18.733333333333334,873,629,22,13,2,0,990,0,1830,0.9566669523715973,-1.3333330829938252,0.840000162521998
7,35007,3,0.3333333333333333,0.0,0.6666666666666666,-0.1722220964729786,10.8,27.0,0.43172895664735056,-48.46666666666667,368,609,17,14,3,216,988,0,284,1.7000004390875498,-0.5799997846285502,-1.6366663297017416
8,40008,3,0.4,0.0,0.6,0.020000153159101804,12.666666666666666,28.5,0.5008367669945677,-42.86666666666667,471,730,15,15,3,224,1059,0,454,1.6866671025753022,-1.069999667008718,-0.5566664338111877
9,45009,3,0.26666666666666666,0.0,0.7333333333333333,-2.5088885431488355,6.4,24.0,0.2710888233403804,-61.666666666666664,227,621,19,15,2,35,803,0,59,2.33333354194959,-9.226666331291199,-0.6333329518636067
10,50010,3,0.3333333333333333,0.0,0.6666666666666666,-3.439999535555641,6.777777777777778,20.333333333333332,0.2760294090415593,-60.53333333333333,239,553,19,15,2,37,873,0,35,-0.38999964594841,-10.269999670982362,0.3400003472963969
