eval_index,timestep,num_rl_agents,tsr,timeout_rate,non_timeout_failure_rate,mean_reward,mean_episode_length_per_car,mean_steps_per_completed_car,mean_policy_to_expert_step_ratio,mean_excess_steps_vs_expert,traffic_violation_count,rollout_traffic_violations_since_last_eval,rollout_failures_since_last_eval,rollout_timeouts_since_last_eval,rollout_successes_since_last_eval,action_slow_count,action_fast_count,action_normal_count,action_stop_count,agent_car_1_mean_reward,agent_car_2_mean_reward,agent_car_3_mean_reward
1,5001,3,0.0,1.0,0.0,0.0,53.91111111111111,2426.0,2.0,80.86666666666666,0,513,19,11,2,0,0,0,7278,0.0,0.0,0.0
2,10002,3,0.0,1.0,0.0,0.0,53.91111111111111,2426.0,2.0,80.86666666666666,0,653,31,11,0,0,0,0,7278,0.0,0.0,0.0
3,15003,3,0.0,1.0,0.0,0.0,53.91111111111111,2426.0,2.0,80.86666666666666,0,517,17,14,1,0,0,0,7278,0.0,0.0,0.0
4,20004,3,0.0,1.0,0.0,0.035555557409922285,53.91111111111111,2426.0,2.0,80.86666666666666,0,566,14,15,2,0,0,18,7260,0.0066666667660077415,0.05333333263794581,0.046666666368643445
5,25005,3,0.5333333333333333,0.4666666666666667,0.0,3.7611112616956235,45.53333333333333,73.17857142857143,1.6872332607756335,55.733333333333334,0,525,16,14,2,0,0,2043,4104,3.7733324309190115,3.523332478602727,3.986665217081706
6,30006,3,0.3333333333333333,0.5333333333333333,0.13333333333333333,2.5222223536421855,42.48888888888889,91.04761904761905,1.5776840857204344,46.6,300,589,29,9,2,0,0,1828,3914,2.309999430179596,2.4366660555203756,2.8199992338816324
7,35007,3,0.2,0.4,0.4,0.6500001446654399,30.666666666666668,138.0,1.1336313652879917,11.133333333333333,321,756,19,14,0,0,0,1059,3099,2.429999299844106,-1.1833335533738136,0.703333044052124
8,40008,3,0.3333333333333333,0.26666666666666666,0.4,0.8011112578213215,26.266666666666666,69.52941176470588,0.9897433159767496,-2.066666666666667,14,589,15,16,1,0,0,1474,2090,2.439999101559321,-0.7366668879985809,0.6999993284543355
9,45009,3,0.3333333333333333,0.26666666666666666,0.4,1.1300001725554467,25.2,70.875,0.950992474225908,-5.266666666666667,6,566,18,14,2,0,0,1291,2129,2.779999295870463,-0.7466669579346975,1.3566659371058145
10,50010,3,0.4666666666666667,0.2,0.3333333333333333,1.8444446181257566,25.88888888888889,52.95454545454545,0.9553734266068603,-3.2,10,591,27,14,1,0,0,1607,1903,3.3933323582013446,-0.3733336607615153,2.5133323947588604
11,55011,3,0.4,0.26666666666666666,0.3333333333333333,1.6477779543648163,25.4,57.15,0.9786468568802906,-4.666666666666667,11,604,9,14,4,0,0,1539,1905,2.8099994083245594,-0.28333368301391604,2.4166657090187074
12,60012,3,0.26666666666666666,0.26666666666666666,0.4666666666666667,0.6277779301007589,23.11111111111111,80.0,0.8972489954824294,-11.533333333333333,7,690,22,13,2,0,0,1136,2005,2.4599994997183483,-1.5766669273376466,0.9999993324279786
13,65013,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.4744446009397507,28.711111111111112,76.0,1.06894052617396,5.266666666666667,5,560,18,13,3,0,0,1501,2390,2.903332628806432,-0.5733337104320526,2.093332537015279
14,70014,3,0.26666666666666666,0.3333333333333333,0.4,0.8266668292383353,29.0,100.38461538461539,1.054872705106139,6.133333333333334,323,703,19,13,2,0,0,1173,2760,2.6599992791811626,-1.1100001230835914,0.9299995462099712
15,75015,3,0.3333333333333333,0.2,0.4666666666666667,0.6488890721152226,22.155555555555555,58.64705882352941,0.8623487894858375,-14.4,13,750,20,11,2,0,0,1456,1556,1.9466661910216014,-1.8966670413812001,1.896665910879771
16,80001,3,0.26666666666666666,0.26666666666666666,0.4666666666666667,0.4844446167349815,24.6,79.07142857142857,0.9536911459245797,-7.066666666666666,325,628,18,15,2,0,0,1335,2007,2.033332771062851,-2.4100002740820248,1.8299993495146434
